U0U1,U0U2,U0U3,U1U2,U1U3,U2U3
4.621,4.621,4.621,4.62,4.62,4.619
4.1,4.1,4.1,4.101,4.101,4.1
3.585,3.585,3.585,3.586,3.586,3.584
3.079,3.079,3.079,3.078,3.078,3.079
2.569,2.569,2.569,2.573,2.573,2.565
2.066,2.066,2.066,2.066,2.066,2.066
1.565,1.565,1.565,1.561,1.561,1.564
1.062,1.062,1.062,1.06,1.06,1.064
0.559,0.559,0.559,0.559,0.559,0.556
0.15,0.15,0.15,0.15,0.15,0.15
