U0U1,U0U2,U0U3,U1U2,U1U3,U2U3
4.622,4.622,4.622,4.623,4.623,4.622
4.104,4.104,4.104,4.104,4.104,4.103
3.586,3.586,3.586,3.585,3.585,3.588
3.079,3.079,3.079,3.079,3.079,3.079
2.573,2.573,2.573,2.573,2.573,2.573
2.068,2.068,2.068,2.071,2.071,2.069
1.567,1.567,1.567,1.565,1.565,1.567
1.065,1.065,1.065,1.067,1.067,1.064
0.559,0.559,0.559,0.561,0.561,0.561
0.15,0.15,0.15,0.15,0.15,0.15
