U0U1_v1,U0U1_v2,U0U1_v3,U0U1_v4,U0U1_v5,U0U1_v6,U0U1_v7,U0U1_v8,U0U1_v9,U0U1_v10,U0U2_v1,U0U2_v2,U0U2_v3,U0U2_v4,U0U2_v5,U0U2_v6,U0U2_v7,U0U2_v8,U0U2_v9,U0U2_v10,U0U3_v1,U0U3_v2,U0U3_v3,U0U3_v4,U0U3_v5,U0U3_v6,U0U3_v7,U0U3_v8,U0U3_v9,U0U3_v10,U1U2_v1,U1U2_v2,U1U2_v3,U1U2_v4,U1U2_v5,U1U2_v6,U1U2_v7,U1U2_v8,U1U2_v9,U1U2_v10,U1U3_v1,U1U3_v2,U1U3_v3,U1U3_v4,U1U3_v5,U1U3_v6,U1U3_v7,U1U3_v8,U1U3_v9,U1U3_v10,U2U3_v1,U2U3_v2,U2U3_v3,U2U3_v4,U2U3_v5,U2U3_v6,U2U3_v7,U2U3_v8,U2U3_v9,U2U3_v10
4.653,4.045,3.732,3.001,2.564,2.242,1.72,1.245,0.685,0.229,4.605,3.856,3.58,2.916,2.432,2.099,1.634,1.188,0.628,0.21,4.615,4.549,3.599,2.982,2.394,2.09,1.587,1.131,0.552,0.134,4.605,4.596,3.571,2.925,2.403,2.147,1.596,1.093,0.523,0.087,4.615,4.662,3.58,2.973,2.47,2.223,1.634,1.046,0.552,0.058,4.444,3.884,3.533,2.954,2.46,2.052,1.577,1.093,0.542,0.144
4.672,3.998,3.732,3.039,2.583,2.27,1.71,1.235,0.685,0.21,4.586,3.894,3.637,2.916,2.46,2.147,1.663,1.188,0.552,0.163,4.624,4.33,3.561,2.992,2.375,2.09,1.606,1.141,0.552,0.125,4.605,4.416,3.523,2.935,2.394,2.099,1.606,1.046,0.542,0.02,4.586,4.653,3.561,2.925,2.432,2.27,1.634,1.084,0.571,0.039,4.473,3.903,3.504,2.944,2.46,2.09,1.568,1.093,0.533,0.134
4.7,3.95,3.751,3.011,2.555,2.261,1.71,1.292,0.704,0.21,4.615,3.988,3.599,2.935,2.432,2.194,1.634,1.15,0.542,0.172,4.605,3.941,3.59,2.982,2.346,2.09,1.587,1.15,0.542,0.115,4.615,4.387,3.523,2.916,2.479,2.109,1.606,1.036,0.523,0.087,4.586,4.359,3.571,2.925,2.441,2.27,1.634,1.084,0.542,0.049,4.435,3.95,3.495,2.925,2.479,2.023,1.549,1.093,0.552,0.115
4.738,3.912,3.723,3.001,2.564,2.28,1.748,1.283,0.704,0.21,4.653,3.912,3.637,2.906,2.432,2.213,1.634,1.112,0.628,0.182,4.615,4.017,3.59,2.973,2.346,2.09,1.596,1.15,0.561,0.115,4.615,4.586,3.552,2.916,2.422,2.137,1.587,1.055,0.552,0.068,4.596,4.482,3.599,2.944,2.422,2.128,1.634,1.093,0.571,0.087,4.511,3.903,3.485,2.954,2.479,2.052,1.558,1.103,0.542,0.144
4.672,3.979,3.713,2.992,2.564,2.28,1.71,1.292,0.675,0.22,4.653,3.865,3.552,2.916,2.451,2.175,1.644,1.16,0.571,0.191,4.624,4.511,3.571,2.982,2.356,2.099,1.577,1.103,0.552,0.115,4.605,4.501,3.571,2.944,2.432,2.128,1.615,1.046,0.552,0.087,4.624,4.681,3.59,2.925,2.451,2.204,1.634,1.046,0.514,0.049,4.444,3.903,3.447,2.973,2.508,2.033,1.558,1.131,0.561,0.106
4.653,3.969,3.761,2.963,2.593,2.289,1.691,1.273,0.713,0.229,4.643,3.865,3.59,2.925,2.432,2.204,1.625,1.197,0.533,0.106,4.634,4.074,3.609,2.963,2.346,2.071,1.596,1.15,0.59,0.144,4.624,4.454,3.571,2.916,2.432,2.137,1.577,1.055,0.542,0.068,4.615,4.511,3.542,2.925,2.375,2.194,1.625,1.084,0.552,0.087,4.463,3.894,3.495,2.973,2.46,2.061,1.577,1.093,0.59,0.144
4.7,3.988,3.723,3.001,2.602,2.27,1.739,1.245,0.647,0.22,4.643,3.894,3.609,2.897,2.479,2.185,1.615,1.197,0.59,0.191,4.643,4.045,3.647,2.973,2.356,2.08,1.615,1.103,0.533,0.144,4.605,4.653,3.514,2.935,2.441,2.128,1.587,1.065,0.514,0.096,4.605,4.435,3.571,2.935,2.403,2.147,1.625,1.074,0.571,0.068,4.492,3.931,3.495,2.963,2.489,2.118,1.558,1.074,0.542,0.144
4.729,4.036,3.675,2.963,2.593,2.318,1.739,1.302,0.685,0.201,4.586,3.988,3.571,2.973,2.422,2.147,1.634,1.188,0.571,0.153,4.624,4.045,3.628,2.963,2.365,2.071,1.615,1.122,0.552,0.153,4.615,4.634,3.552,2.973,2.422,2.147,1.625,1.046,0.542,0.087,4.605,4.454,3.561,2.963,2.422,2.251,1.653,1.084,0.571,0.106,4.454,3.865,3.457,2.954,2.489,2.052,1.587,1.074,0.523,0.134
4.767,3.988,3.723,2.992,2.593,2.27,1.71,1.254,0.685,0.239,4.653,3.998,3.628,2.925,2.47,2.185,1.625,1.169,0.58,0.172,4.605,4.007,3.618,2.973,2.346,2.099,1.615,1.131,0.59,0.153,4.624,4.511,3.552,2.982,2.346,2.137,1.634,1.055,0.533,0.096,4.596,4.473,3.523,2.963,2.46,2.242,1.634,1.046,0.552,0.077,4.492,3.931,3.523,2.963,2.46,2.033,1.568,1.093,0.561,0.153
4.7,4.036,3.751,3.039,2.583,2.242,1.748,1.216,0.656,0.191,4.586,3.96,3.561,2.954,2.46,2.185,1.606,1.179,0.609,0.153,4.624,4.007,3.609,2.992,2.365,2.118,1.587,1.131,0.561,0.125,4.605,4.624,3.542,2.973,2.451,2.099,1.625,1.055,0.552,0.049,4.605,4.568,3.561,2.954,2.422,2.213,1.634,1.084,0.542,0.068,4.444,3.875,3.523,2.916,2.441,2.118,1.539,1.093,0.561,0.115
