U0U1_v1,U0U1_v2,U0U1_v3,U0U1_v4,U0U1_v5,U0U1_v6,U0U1_v7,U0U1_v8,U0U1_v9,U0U1_v10,U1U2_v1,U1U2_v2,U1U2_v3,U1U2_v4,U1U2_v5,U1U2_v6,U1U2_v7,U1U2_v8,U1U2_v9,U1U2_v10,U2U3_v1,U2U3_v2,U2U3_v3,U2U3_v4,U2U3_v5,U2U3_v6,U2U3_v7,U2U3_v8,U2U3_v9,U2U3_v10
4.615,4.14,3.599,3.049,2.546,2.033,1.606,1.093,0.599,0.115,4.586,3.95,3.504,3.049,2.479,1.985,1.473,1.055,0.486,0.049,4.492,4.074,3.523,3.001,2.508,1.976,1.492,1.008,0.467,0.049
4.615,4.14,3.571,3.077,2.564,2.042,1.539,1.074,0.59,0.125,4.568,3.988,3.504,3.039,2.498,1.976,1.463,1.065,0.486,0.039,4.52,4.045,3.485,2.992,2.517,1.976,1.482,1.017,0.486,0.049
4.643,4.15,3.647,3.058,2.583,2.023,1.558,1.122,0.571,0.115,4.539,3.95,3.523,3.03,2.479,1.995,1.53,1.046,0.486,0.087,4.492,4.017,3.504,2.992,2.479,1.985,1.492,0.979,0.495,0.087
4.624,4.14,3.618,3.096,2.564,2.023,1.587,1.084,0.59,0.153,4.586,3.998,3.523,2.992,2.489,1.947,1.463,1.027,0.457,0.03,4.501,4.036,3.523,3.02,2.527,1.985,1.482,1.017,0.467,0.068
4.615,4.112,3.647,3.058,2.564,2.061,1.587,1.122,0.58,0.153,4.558,3.95,3.542,3.039,2.479,1.976,1.425,1.046,0.476,0.058,4.482,4.036,3.523,2.982,2.498,1.966,1.492,0.97,0.486,0.049
4.634,4.169,3.59,3.068,2.564,2.014,1.558,1.084,0.561,0.096,4.549,4.007,3.533,3.001,2.47,1.957,1.501,0.989,0.448,0.068,4.492,4.026,3.504,3.02,2.508,1.985,1.501,0.998,0.486,0.058
4.634,4.15,3.637,3.068,2.555,2.033,1.615,1.112,0.609,0.106,4.558,3.998,3.514,3.011,2.479,1.985,1.492,1.036,0.486,0.077,4.501,4.045,3.514,3.001,2.517,1.976,1.492,1.008,0.486,0.03
4.624,4.131,3.609,3.077,2.564,2.033,1.549,1.093,0.571,0.106,4.577,3.931,3.533,3.049,2.489,1.985,1.492,1.112,0.467,0.049,4.511,4.036,3.504,2.973,2.498,1.966,1.482,1.027,0.476,0.068
4.624,4.121,3.609,3.068,2.574,2.004,1.558,1.093,0.58,0.144,4.53,3.95,3.523,3.049,2.508,1.976,1.511,1.017,0.448,0.058,4.511,4.045,3.476,3.011,2.508,1.947,1.492,0.998,0.495,0.039
4.653,4.14,3.609,3.058,2.564,2.071,1.653,1.103,0.58,0.106,4.586,3.969,3.514,2.982,2.47,1.947,1.463,1.093,0.476,0.03,4.511,4.036,3.523,3.03,2.489,1.985,1.492,1.027,0.495,0.087
