U0U1_v1,U0U1_v2,U0U1_v3,U0U1_v4,U0U1_v5,U0U1_v6,U0U1_v7,U0U1_v8,U0U1_v9,U0U1_v10,U0U2_v1,U0U2_v2,U0U2_v3,U0U2_v4,U0U2_v5,U0U2_v6,U0U2_v7,U0U2_v8,U0U2_v9,U0U2_v10,U0U3_v1,U0U3_v2,U0U3_v3,U0U3_v4,U0U3_v5,U0U3_v6,U0U3_v7,U0U3_v8,U0U3_v9,U0U3_v10,U1U2_v1,U1U2_v2,U1U2_v3,U1U2_v4,U1U2_v5,U1U2_v6,U1U2_v7,U1U2_v8,U1U2_v9,U1U2_v10,U1U3_v1,U1U3_v2,U1U3_v3,U1U3_v4,U1U3_v5,U1U3_v6,U1U3_v7,U1U3_v8,U1U3_v9,U1U3_v10,U2U3_v1,U2U3_v2,U2U3_v3,U2U3_v4,U2U3_v5,U2U3_v6,U2U3_v7,U2U3_v8,U2U3_v9,U2U3_v10
4.653,4.207,3.618,3.058,2.631,2.099,1.615,1.112,0.609,0.172,4.586,4.112,3.59,3.068,2.669,2.052,1.52,1.055,0.637,0.039,4.615,4.121,3.618,3.068,2.555,2.023,1.549,1.036,0.542,0.106,4.662,4.102,3.628,3.087,2.508,2.004,1.482,1.046,0.58,0.125,4.653,4.15,3.618,3.096,2.564,2.052,1.52,1.093,0.542,0.163,4.662,4.131,3.618,3.077,2.564,2.033,1.587,1.065,0.58,0.191
4.662,4.178,3.647,3.068,2.65,2.071,1.606,1.093,0.628,0.182,4.586,4.14,3.618,3.096,2.583,2.071,1.549,1.074,0.59,0.134,4.596,4.15,3.599,3.058,2.564,2.033,1.558,1.017,0.561,0.125,4.568,4.083,3.618,3.087,2.489,2.023,1.482,1.027,0.58,0.125,4.624,4.178,3.618,3.068,2.564,2.023,1.558,1.036,0.533,0.087,4.653,4.14,3.628,3.068,2.602,2.052,1.587,1.046,0.571,0.182
4.691,4.178,3.618,3.068,2.65,2.099,1.568,1.122,0.618,0.163,4.605,4.14,3.609,3.077,2.536,2.109,1.587,1.084,0.561,0.134,4.605,4.112,3.628,3.087,2.564,2.042,1.549,1.036,0.561,0.087,4.615,4.112,3.571,3.115,2.517,2.061,1.501,1.055,0.609,0.134,4.624,4.178,3.599,3.077,2.574,2.014,1.501,1.036,0.523,0.096,4.634,4.14,3.647,3.077,2.602,2.033,1.577,1.074,0.58,0.153
4.653,4.207,3.628,3.096,2.631,2.109,1.615,1.084,0.609,0.182,4.558,4.14,3.637,3.068,2.536,2.052,1.587,1.112,0.628,0.144,4.586,4.121,3.599,3.049,2.536,2.023,1.549,1.046,0.552,0.153,4.653,4.093,3.618,3.068,2.517,2.052,1.558,1.046,0.609,0.106,4.615,4.159,3.637,3.077,2.593,2.052,1.549,1.017,0.609,0.058,4.653,4.14,3.647,3.077,2.583,2.071,1.577,1.055,0.561,0.182
4.653,4.178,3.618,3.077,2.65,2.147,1.606,1.103,0.618,0.144,4.605,4.14,3.637,3.115,2.593,2.09,1.568,1.074,0.647,0.182,4.643,4.131,3.609,3.087,2.564,2.014,1.568,1.036,0.523,0.106,4.634,4.112,3.628,3.087,2.517,2.042,1.511,1.017,0.542,0.153,4.653,4.15,3.656,3.087,2.574,2.052,1.53,0.979,0.599,0.106,4.662,4.121,3.647,3.087,2.593,2.071,1.568,1.046,0.58,0.201
4.672,4.197,3.628,3.087,2.64,2.118,1.625,1.084,0.609,0.125,4.586,4.159,3.58,3.049,2.564,2.061,1.615,1.074,0.713,0.134,4.596,4.121,3.59,3.058,2.583,2.042,1.587,1.027,0.561,0.106,4.624,4.112,3.59,3.068,2.508,2.014,1.568,0.998,0.599,0.144,4.643,4.188,3.609,3.096,2.536,2.004,1.596,1.036,0.618,0.087,4.643,4.15,3.637,3.087,2.574,2.052,1.577,1.046,0.58,0.182
4.672,4.197,3.628,3.106,2.631,2.109,1.625,1.122,0.609,0.144,4.653,4.159,3.58,3.087,2.612,2.061,1.558,1.084,0.609,0.096,4.586,4.102,3.618,3.039,2.555,2.061,1.539,1.046,0.571,0.077,4.624,4.131,3.609,3.049,2.527,2.071,1.52,1.017,0.552,0.058,4.634,4.15,3.599,3.096,2.536,2.042,1.577,0.998,0.609,0.106,4.643,4.15,3.637,3.068,2.574,2.052,1.587,1.055,0.59,0.182
4.653,4.178,3.675,3.096,2.697,2.071,1.606,1.055,0.599,0.153,4.586,4.15,3.59,3.077,2.546,2.109,1.615,0.989,0.58,0.087,4.596,4.14,3.599,3.068,2.564,2.023,1.549,1.046,0.533,0.153,4.643,4.131,3.599,3.087,2.527,2.042,1.558,1.036,0.599,0.153,4.653,4.15,3.59,3.087,2.536,2.033,1.596,1.046,0.552,0.106,4.634,4.15,3.618,3.058,2.564,2.042,1.568,1.046,0.571,0.172
4.653,4.178,3.637,3.077,2.631,2.118,1.596,1.122,0.609,0.153,4.596,4.15,3.58,3.068,2.564,2.109,1.596,1.036,0.637,0.087,4.605,4.112,3.609,3.049,2.564,2.033,1.549,1.036,0.542,0.106,4.643,4.112,3.628,3.068,2.564,2.08,1.511,1.046,0.571,0.144,4.624,4.169,3.609,3.096,2.527,2.014,1.539,1.046,0.523,0.125,4.653,4.15,3.628,3.049,2.564,2.052,1.596,1.046,0.59,0.191
4.653,4.178,3.647,3.068,2.659,2.071,1.587,1.093,0.59,0.144,4.605,4.121,3.59,3.077,2.536,2.052,1.644,1.112,0.618,0.077,4.624,4.112,3.637,3.058,2.546,2.052,1.596,1.036,0.533,0.134,4.634,4.093,3.618,3.106,2.508,2.052,1.501,1.074,0.542,0.125,4.634,4.159,3.637,3.087,2.546,2.071,1.558,1.027,0.571,0.106,4.653,4.14,3.647,3.106,2.593,2.042,1.568,1.065,0.561,0.182
