U0U1_v1,U0U1_v2,U0U1_v3,U0U1_v4,U0U1_v5,U0U1_v6,U0U1_v7,U0U1_v8,U0U1_v9,U0U1_v10,U0U2_v1,U0U2_v2,U0U2_v3,U0U2_v4,U0U2_v5,U0U2_v6,U0U2_v7,U0U2_v8,U0U2_v9,U0U2_v10,U0U3_v1,U0U3_v2,U0U3_v3,U0U3_v4,U0U3_v5,U0U3_v6,U0U3_v7,U0U3_v8,U0U3_v9,U0U3_v10,U1U2_v1,U1U2_v2,U1U2_v3,U1U2_v4,U1U2_v5,U1U2_v6,U1U2_v7,U1U2_v8,U1U2_v9,U1U2_v10,U1U3_v1,U1U3_v2,U1U3_v3,U1U3_v4,U1U3_v5,U1U3_v6,U1U3_v7,U1U3_v8,U1U3_v9,U1U3_v10,U2U3_v1,U2U3_v2,U2U3_v3,U2U3_v4,U2U3_v5,U2U3_v6,U2U3_v7,U2U3_v8,U2U3_v9,U2U3_v10
4.653,4.15,3.533,3.087,2.602,2.052,1.606,1.112,0.609,0.172,4.596,4.14,3.542,3.077,2.555,2.023,1.501,1.122,0.514,0.106,4.586,4.112,3.485,3.068,2.564,2.061,1.511,1.036,0.523,0.134,4.558,4.083,3.504,3.077,2.498,2.052,1.52,1.036,0.476,0.144,4.605,4.121,3.571,3.058,2.564,2.052,1.558,1.065,0.542,0.087,4.52,4.14,3.552,3.068,2.583,2.061,1.558,1.065,0.599,0.144
4.577,4.121,3.523,3.077,2.602,2.099,1.596,1.112,0.609,0.182,4.615,4.112,3.514,3.106,2.536,2.033,1.558,1.065,0.523,0.068,4.596,4.093,3.495,3.068,2.564,2.08,1.53,1.055,0.552,0.163,4.52,4.093,3.523,3.068,2.517,2.023,1.52,1.065,0.505,0.106,4.596,4.083,3.58,3.068,2.564,2.08,1.568,1.017,0.542,0.115,4.539,4.131,3.533,3.058,2.574,2.08,1.587,1.112,0.599,0.182
4.643,4.178,3.542,3.087,2.65,2.052,1.625,1.131,0.599,0.163,4.634,4.083,3.552,3.087,2.546,2.033,1.53,1.084,0.505,0.077,4.605,4.083,3.495,3.068,2.574,2.071,1.52,1.046,0.542,0.125,4.549,4.074,3.504,3.039,2.517,2.118,1.52,1.074,0.514,0.163,4.596,4.102,3.571,3.087,2.564,2.08,1.568,1.036,0.552,0.115,4.52,4.15,3.542,3.087,2.564,2.09,1.558,1.055,0.542,0.182
4.624,4.188,3.504,3.087,2.574,2.042,1.615,1.084,0.599,0.191,4.605,4.121,3.542,3.096,2.517,2.061,1.596,1.093,0.514,0.191,4.615,4.093,3.495,3.068,2.546,2.033,1.52,1.065,0.533,0.134,4.539,4.093,3.542,3.058,2.527,2.09,1.52,1.036,0.533,0.144,4.596,4.112,3.58,3.077,2.574,2.061,1.549,1.055,0.523,0.125,4.539,4.131,3.533,3.115,2.564,2.08,1.558,1.046,0.571,0.144
4.605,4.178,3.514,3.115,2.621,2.061,1.615,1.103,0.59,0.163,4.624,4.14,3.59,3.077,2.574,2.033,1.587,1.093,0.533,0.163,4.596,4.093,3.495,3.049,2.555,2.052,1.53,1.046,0.571,0.163,4.501,4.083,3.504,3.077,2.527,2.071,1.511,1.074,0.542,0.077,4.605,4.102,3.58,3.096,2.574,2.033,1.549,1.027,0.514,0.182,4.52,4.121,3.542,3.068,2.583,2.052,1.577,1.074,0.561,0.172
4.653,4.159,3.514,3.106,2.612,2.099,1.625,1.074,0.58,0.182,4.634,4.14,3.552,3.096,2.546,2.071,1.539,1.084,0.523,0.144,4.596,4.112,3.495,3.049,2.555,2.061,1.52,1.036,0.552,0.106,4.558,4.055,3.504,3.068,2.546,2.061,1.53,1.046,0.514,0.134,4.643,4.112,3.571,3.125,2.564,2.061,1.539,1.036,0.533,0.087,4.539,4.112,3.523,3.077,2.574,2.071,1.577,1.084,0.58,0.163
4.615,4.15,3.542,3.077,2.574,2.042,1.625,1.084,0.647,0.182,4.662,4.074,3.542,3.087,2.574,2.014,1.52,1.065,0.59,0.134,4.615,4.112,3.476,3.049,2.555,2.052,1.549,1.027,0.533,0.115,4.549,4.102,3.504,3.039,2.536,2.109,1.539,1.074,0.486,0.106,4.624,4.112,3.571,3.096,2.546,2.014,1.549,1.074,0.523,0.163,4.539,4.121,3.552,3.068,2.583,2.08,1.568,1.065,0.552,0.153
4.596,4.15,3.542,3.087,2.602,2.08,1.615,1.122,0.571,0.182,4.672,4.093,3.571,3.058,2.574,2.061,1.558,1.065,0.571,0.125,4.624,4.093,3.514,3.049,2.555,2.052,1.52,1.036,0.542,0.144,4.568,4.093,3.552,3.049,2.536,2.042,1.52,1.027,0.514,0.134,4.634,4.131,3.552,3.049,2.564,2.071,1.568,1.046,0.561,0.163,4.52,4.102,3.533,3.068,2.574,2.071,1.568,1.065,0.552,0.153
4.624,4.159,3.504,3.125,2.574,2.109,1.644,1.093,0.609,0.22,4.634,4.083,3.523,3.058,2.574,2.08,1.577,1.084,0.609,0.106,4.605,4.093,3.476,3.068,2.564,2.052,1.549,1.046,0.599,0.134,4.558,4.112,3.504,3.039,2.517,2.052,1.539,1.065,0.523,0.096,4.605,4.131,3.561,3.058,2.574,2.052,1.568,1.103,0.514,0.125,4.501,4.15,3.514,3.058,2.602,2.08,1.568,1.074,0.58,0.153
4.634,4.169,3.514,3.087,2.602,2.08,1.625,1.093,0.609,0.144,4.634,4.14,3.533,3.096,2.574,2.09,1.558,1.131,0.533,0.191,4.605,4.102,3.504,3.058,2.564,2.042,1.511,1.008,0.542,0.153,4.568,4.083,3.495,3.011,2.564,2.08,1.511,1.055,0.514,0.115,4.615,4.112,3.552,3.077,2.564,2.033,1.558,1.074,0.59,0.106,4.511,4.112,3.542,3.068,2.564,2.052,1.568,1.074,0.599,0.125
4.615,4.15,3.523,3.134,2.574,2.09,1.615,1.122,0.59,0.172,4.634,4.093,3.552,3.068,2.583,2.061,1.577,1.046,0.59,0.134,4.605,4.102,3.495,3.049,2.546,2.052,1.539,1.046,0.561,0.115,4.549,4.112,3.523,3.049,2.555,2.08,1.511,1.046,0.514,0.096,4.624,4.102,3.58,3.106,2.574,2.071,1.577,1.055,0.561,0.115,4.52,4.15,3.542,3.068,2.564,2.08,1.577,1.074,0.561,0.125
4.596,4.159,3.504,3.096,2.574,2.08,1.615,1.122,0.637,0.172,4.596,4.102,3.609,3.077,2.564,2.061,1.539,1.188,0.561,0.172,4.624,4.083,3.514,3.058,2.536,2.052,1.53,1.055,0.552,0.144,4.558,4.112,3.552,3.068,2.517,2.08,1.539,1.036,0.514,0.096,4.653,4.14,3.552,3.077,2.574,2.071,1.549,1.036,0.533,0.115,4.549,4.121,3.533,3.087,2.564,2.061,1.558,1.084,0.552,0.182
4.615,4.159,3.533,3.106,2.602,2.071,1.625,1.112,0.609,0.163,4.615,4.112,3.571,3.068,2.536,2.042,1.568,1.065,0.542,0.153,4.605,4.14,3.495,3.039,2.564,2.061,1.539,1.017,0.533,0.115,4.53,4.121,3.552,3.068,2.555,2.08,1.492,1.046,0.533,0.106,4.605,4.121,3.561,3.058,2.564,2.09,1.587,1.112,0.571,0.115,4.53,4.102,3.533,3.068,2.593,2.061,1.549,1.084,0.542,0.21
4.643,4.121,3.523,3.087,2.612,2.109,1.625,1.141,0.628,0.153,4.653,4.055,3.552,3.115,2.564,2.052,1.482,1.103,0.59,0.134,4.586,4.131,3.476,3.03,2.564,2.033,1.549,1.046,0.561,0.153,4.558,4.083,3.533,3.058,2.593,2.061,1.539,1.036,0.542,0.106,4.634,4.102,3.58,3.077,2.555,2.09,1.568,1.055,0.571,0.087,4.53,4.131,3.561,3.058,2.583,2.061,1.568,1.065,0.552,0.153
4.605,4.169,3.523,3.096,2.621,2.014,1.606,1.112,0.609,0.163,4.586,4.112,3.571,3.077,2.546,2.052,1.539,1.084,0.523,0.201,4.577,4.121,3.495,3.058,2.564,2.052,1.53,1.046,0.523,0.153,4.53,4.102,3.514,3.039,2.574,2.109,1.511,1.036,0.486,0.106,4.615,4.121,3.561,3.106,2.564,2.061,1.558,1.093,0.533,0.087,4.52,4.14,3.523,3.068,2.555,2.08,1.568,1.074,0.59,0.115
4.615,4.178,3.542,3.077,2.631,2.071,1.644,1.15,0.618,0.153,4.634,4.093,3.533,3.077,2.574,2.071,1.549,1.169,0.609,0.144,4.605,4.074,3.485,3.039,2.546,2.052,1.511,1.065,0.58,0.125,4.549,4.121,3.504,3.049,2.536,2.052,1.53,1.055,0.523,0.153,4.653,4.121,3.571,3.087,2.564,2.061,1.549,1.055,0.533,0.115,4.501,4.121,3.514,3.077,2.574,2.052,1.549,1.046,0.561,0.144
4.662,4.188,3.504,3.106,2.593,2.09,1.634,1.131,0.628,0.163,4.577,4.083,3.552,3.115,2.564,2.042,1.53,1.169,0.561,0.191,4.605,4.102,3.485,3.077,2.536,2.09,1.549,1.046,0.514,0.134,4.558,4.083,3.485,3.068,2.517,2.061,1.511,1.046,0.514,0.106,4.615,4.112,3.561,3.068,2.583,2.052,1.558,1.093,0.571,0.096,4.511,4.121,3.561,3.058,2.574,2.061,1.568,1.103,0.561,0.144
4.653,4.121,3.514,3.068,2.583,2.099,1.615,1.141,0.618,0.172,4.634,4.102,3.504,3.049,2.555,2.052,1.587,1.065,0.571,0.191,4.615,4.074,3.495,3.001,2.574,2.061,1.539,1.017,0.561,0.144,4.586,4.102,3.495,3.058,2.564,2.052,1.53,1.055,0.514,0.115,4.605,4.112,3.552,3.096,2.593,2.042,1.577,1.036,0.59,0.106,4.52,4.14,3.514,3.096,2.583,2.061,1.568,1.084,0.58,0.163
4.653,4.15,3.523,3.077,2.621,2.033,1.625,1.103,0.618,0.163,4.586,4.14,3.58,3.068,2.564,2.014,1.568,1.065,0.552,0.201,4.634,4.093,3.504,3.049,2.564,2.052,1.53,1.046,0.58,0.125,4.558,4.121,3.533,3.03,2.555,2.09,1.511,1.055,0.505,0.125,4.634,4.131,3.59,3.068,2.583,2.061,1.577,1.046,0.514,0.153,4.511,4.14,3.533,3.087,2.564,2.052,1.549,1.074,0.571,0.153
4.624,4.15,3.514,3.087,2.621,2.052,1.625,1.103,0.609,0.182,4.653,4.14,3.514,3.096,2.564,2.071,1.549,1.169,0.514,0.153,4.624,4.083,3.504,3.068,2.555,2.052,1.511,1.046,0.561,0.125,4.577,4.121,3.514,3.03,2.546,2.052,1.52,1.046,0.505,0.172,4.615,4.131,3.561,3.096,2.593,2.071,1.568,1.093,0.561,0.106,4.539,4.14,3.542,3.058,2.583,2.052,1.568,1.074,0.599,0.201
4.624,4.15,3.504,3.096,2.583,2.071,1.606,1.074,0.609,0.163,4.605,4.102,3.533,3.087,2.564,2.042,1.53,1.046,0.609,0.115,4.634,4.083,3.476,3.068,2.574,2.042,1.549,1.027,0.561,0.144,4.511,4.093,3.514,3.03,2.527,2.099,1.539,1.036,0.533,0.106,4.634,4.121,3.571,3.077,2.546,2.052,1.568,1.046,0.58,0.134,4.511,4.131,3.523,3.068,2.593,2.061,1.558,1.074,0.571,0.125
4.605,4.169,3.514,3.106,2.612,2.061,1.625,1.103,0.59,0.191,4.653,4.074,3.495,3.087,2.583,2.033,1.587,1.131,0.533,0.134,4.596,4.093,3.485,3.068,2.546,2.08,1.501,1.036,0.552,0.106,4.577,4.121,3.504,3.049,2.536,2.042,1.549,1.074,0.533,0.096,4.634,4.102,3.552,3.068,2.593,2.08,1.577,1.084,0.59,0.163,4.53,4.14,3.542,3.058,2.583,2.099,1.558,1.074,0.542,0.182
4.653,4.169,3.533,3.068,2.593,2.109,1.615,1.131,0.59,0.153,4.634,4.15,3.533,3.087,2.564,2.08,1.587,1.141,0.514,0.106,4.615,4.093,3.476,3.077,2.536,2.052,1.511,1.046,0.533,0.153,4.549,4.112,3.495,3.068,2.564,2.09,1.539,1.046,0.542,0.115,4.586,4.131,3.58,3.058,2.564,2.042,1.558,1.055,0.542,0.096,4.501,4.169,3.514,3.087,2.564,2.052,1.568,1.103,0.571,0.182
4.615,4.188,3.533,3.087,2.602,2.09,1.606,1.103,0.628,0.182,4.634,4.131,3.523,3.115,2.564,2.099,1.577,1.122,0.561,0.239,4.615,4.112,3.514,3.049,2.555,2.042,1.511,1.017,0.58,0.134,4.577,4.083,3.504,3.077,2.527,2.061,1.492,1.055,0.514,0.096,4.634,4.121,3.59,3.106,2.555,2.061,1.587,1.065,0.58,0.115,4.539,4.131,3.552,3.087,2.564,2.061,1.577,1.074,0.561,0.163
4.596,4.169,3.495,3.144,2.621,2.08,1.644,1.093,0.609,0.172,4.596,4.083,3.533,3.077,2.546,2.09,1.549,1.084,0.552,0.134,4.643,4.093,3.495,3.068,2.564,2.061,1.558,1.027,0.533,0.163,4.558,4.102,3.542,3.068,2.508,2.042,1.52,1.065,0.495,0.153,4.653,4.131,3.561,3.115,2.583,2.061,1.558,1.017,0.523,0.115,4.53,4.14,3.561,3.087,2.574,2.061,1.549,1.074,0.542,0.163
4.643,4.159,3.523,3.096,2.593,2.09,1.625,1.103,0.59,0.163,4.672,4.083,3.552,3.096,2.508,2.061,1.558,1.141,0.561,0.286,4.615,4.083,3.504,3.068,2.555,2.052,1.549,1.046,0.523,0.144,4.549,4.112,3.533,3.068,2.546,2.128,1.53,1.036,0.533,0.144,4.634,4.121,3.561,3.058,2.593,2.033,1.558,1.046,0.514,0.106,4.53,4.14,3.533,3.068,2.564,2.061,1.577,1.065,0.571,0.153
4.634,4.169,3.514,3.106,2.602,2.08,1.634,1.093,0.637,0.172,4.615,4.121,3.523,3.087,2.574,2.071,1.587,1.207,0.495,0.096,4.586,4.102,3.485,3.068,2.564,2.061,1.53,1.055,0.514,0.125,4.577,4.083,3.485,3.058,2.564,2.128,1.539,1.065,0.514,0.087,4.615,4.112,3.571,3.068,2.555,2.052,1.577,1.065,0.571,0.096,4.53,4.112,3.514,3.087,2.564,2.09,1.577,1.065,0.599,0.163
4.643,4.15,3.533,3.087,2.631,2.071,1.615,1.112,0.609,0.153,4.615,4.131,3.533,3.039,2.564,2.118,1.577,1.074,0.542,0.106,4.605,4.112,3.495,3.049,2.564,2.042,1.549,1.046,0.542,0.153,4.53,4.093,3.485,3.068,2.527,2.071,1.53,1.065,0.514,0.125,4.605,4.112,3.571,3.096,2.564,2.052,1.587,1.074,0.571,0.125,4.511,4.131,3.533,3.068,2.583,2.052,1.577,1.093,0.58,0.144
4.643,4.197,3.542,3.077,2.593,2.099,1.644,1.065,0.599,0.22,4.624,4.083,3.533,3.087,2.546,2.042,1.539,1.188,0.58,0.201,4.615,4.093,3.466,3.058,2.555,2.061,1.53,1.046,0.533,0.134,4.586,4.083,3.504,3.058,2.536,2.128,1.52,1.065,0.495,0.106,4.624,4.131,3.59,3.096,2.574,2.014,1.568,1.065,0.542,0.134,4.53,4.15,3.533,3.077,2.564,2.052,1.577,1.065,0.59,0.144
4.653,4.159,3.533,3.106,2.602,2.08,1.625,1.093,0.609,0.163,4.615,4.083,3.504,3.144,2.564,2.109,1.596,1.16,0.514,0.21,4.615,4.093,3.485,3.049,2.555,2.042,1.539,1.055,0.552,0.106,4.52,4.064,3.552,3.03,2.517,2.099,1.511,1.055,0.505,0.134,4.605,4.131,3.571,3.068,2.564,2.08,1.539,1.027,0.533,0.106,4.549,4.15,3.542,3.068,2.574,2.09,1.558,1.055,0.59,0.134
4.615,4.131,3.504,3.068,2.593,2.071,1.606,1.103,0.609,0.191,4.643,4.102,3.542,3.106,2.574,2.109,1.568,1.131,0.571,0.106,4.615,4.083,3.485,3.03,2.546,2.023,1.558,1.046,0.514,0.125,4.539,4.112,3.504,3.049,2.527,2.061,1.501,1.046,0.58,0.134,4.634,4.102,3.609,3.068,2.564,2.08,1.568,1.074,0.571,0.106,4.482,4.14,3.561,3.087,2.612,2.071,1.568,1.055,0.561,0.163
4.653,4.188,3.504,3.096,2.593,2.071,1.615,1.103,0.59,0.191,4.624,4.14,3.514,3.087,2.555,2.033,1.568,1.131,0.59,0.21,4.615,4.093,3.485,3.058,2.574,2.033,1.549,1.074,0.571,0.144,4.558,4.083,3.542,3.077,2.536,2.08,1.501,1.055,0.495,0.134,4.634,4.112,3.58,3.106,2.555,2.08,1.558,1.103,0.571,0.087,4.53,4.131,3.561,3.049,2.583,2.061,1.577,1.093,0.571,0.172
4.662,4.15,3.495,3.096,2.602,2.08,1.615,1.122,0.599,0.163,4.605,4.102,3.533,3.087,2.555,2.071,1.615,1.084,0.486,0.125,4.577,4.131,3.504,3.087,2.564,2.052,1.549,1.055,0.523,0.115,4.577,4.112,3.495,3.049,2.527,2.109,1.52,1.055,0.505,0.125,4.643,4.15,3.58,3.049,2.564,2.08,1.568,1.046,0.552,0.106,4.511,4.083,3.533,3.068,2.564,2.061,1.549,1.074,0.571,0.153
4.624,4.178,3.533,3.077,2.621,2.099,1.634,1.093,0.637,0.22,4.586,4.131,3.523,3.096,2.555,2.061,1.577,1.055,0.552,0.125,4.615,4.121,3.485,3.058,2.555,2.061,1.539,1.055,0.552,0.115,4.539,4.083,3.533,3.049,2.527,2.08,1.52,1.065,0.523,0.153,4.615,4.112,3.599,3.058,2.527,2.071,1.558,1.112,0.561,0.125,4.549,4.15,3.523,3.068,2.564,2.061,1.558,1.046,0.542,0.191
4.634,4.15,3.504,3.077,2.602,2.052,1.625,1.112,0.628,0.144,4.653,4.112,3.552,3.134,2.555,2.08,1.577,1.103,0.533,0.201,4.586,4.083,3.485,3.058,2.564,2.052,1.558,1.046,0.514,0.182,4.558,4.102,3.504,3.068,2.555,2.109,1.501,1.046,0.505,0.144,4.596,4.131,3.571,3.077,2.546,2.099,1.568,1.103,0.542,0.115,4.511,4.102,3.533,3.058,2.564,2.061,1.568,1.074,0.561,0.182
4.643,4.159,3.523,3.096,2.583,2.052,1.606,1.093,0.637,0.163,4.624,4.112,3.542,3.077,2.574,2.042,1.539,1.122,0.58,0.163,4.634,4.121,3.495,3.049,2.574,2.052,1.53,1.046,0.533,0.182,4.549,4.112,3.504,3.058,2.517,2.08,1.52,1.055,0.552,0.153,4.634,4.131,3.561,3.096,2.546,2.061,1.577,1.103,0.571,0.144,4.511,4.131,3.542,3.058,2.555,2.071,1.568,1.065,0.599,0.153
4.624,4.15,3.504,3.115,2.555,2.061,1.606,1.141,0.599,0.22,4.634,4.112,3.523,3.125,2.536,2.042,1.577,1.055,0.618,0.201,4.624,4.083,3.495,3.049,2.564,2.071,1.549,1.055,0.533,0.153,4.53,4.093,3.504,3.058,2.517,2.099,1.549,1.036,0.533,0.096,4.605,4.121,3.58,3.068,2.536,2.052,1.568,1.065,0.561,0.125,4.539,4.121,3.542,3.068,2.593,2.09,1.587,1.065,0.533,0.153
