U0U1,U0U2,U0U3,U1U2,U1U3,U2U3
4.606,4.606,4.606,4.605,4.605,4.604
4.085,4.085,4.085,4.086,4.086,4.085
3.57,3.57,3.57,3.571,3.571,3.569
3.064,3.064,3.064,3.063,3.063,3.064
2.554,2.554,2.554,2.558,2.558,2.55
2.051,2.051,2.051,2.051,2.051,2.051
1.55,1.55,1.55,1.546,1.546,1.549
1.047,1.047,1.047,1.045,1.045,1.049
0.544,0.544,0.544,0.544,0.544,0.541
0.135,0.135,0.135,0.135,0.135,0.135
