U0U1,U0U2,U0U3,U1U2,U1U3,U2U3
5.877,5.628,5.886,5.869,6.066,5.761
5.38,5.268,5.429,5.255,5.428,5.284
4.775,4.647,4.787,4.658,4.853,4.686
4.271,4.173,4.32,4.127,4.308,4.175
3.738,3.628,3.758,3.612,3.782,3.626
3.214,3.113,3.242,3.088,3.26,3.101
2.689,2.591,2.709,2.551,2.724,2.569
2.19,2.09,2.197,2.06,2.205,2.047
1.656,1.539,1.675,1.518,1.666,1.512
1.213,1.12,1.23,1.087,1.221,1.092
