U0U1,U0U2,U0U3,U1U2,U1U3,U2U3
4.607,4.607,4.607,4.606,4.606,4.605
4.085,4.085,4.085,4.086,4.086,4.087
3.569,3.569,3.569,3.57,3.57,3.569
3.064,3.064,3.064,3.065,3.065,3.065
2.558,2.558,2.558,2.558,2.558,2.557
2.051,2.051,2.051,2.051,2.051,2.051
1.549,1.549,1.549,1.55,1.55,1.551
1.05,1.05,1.05,1.05,1.05,1.05
0.547,0.547,0.547,0.548,0.548,0.543
0.15,0.15,0.15,0.15,0.15,0.15
