U0U1_v1,U0U1_v2,U0U1_v3,U0U1_v4,U0U1_v5,U0U1_v6,U0U1_v7,U0U1_v8,U0U1_v9,U0U1_v10,U0U2_v1,U0U2_v2,U0U2_v3,U0U2_v4,U0U2_v5,U0U2_v6,U0U2_v7,U0U2_v8,U0U2_v9,U0U2_v10,U0U3_v1,U0U3_v2,U0U3_v3,U0U3_v4,U0U3_v5,U0U3_v6,U0U3_v7,U0U3_v8,U0U3_v9,U0U3_v10,U1U2_v1,U1U2_v2,U1U2_v3,U1U2_v4,U1U2_v5,U1U2_v6,U1U2_v7,U1U2_v8,U1U2_v9,U1U2_v10,U1U3_v1,U1U3_v2,U1U3_v3,U1U3_v4,U1U3_v5,U1U3_v6,U1U3_v7,U1U3_v8,U1U3_v9,U1U3_v10,U2U3_v1,U2U3_v2,U2U3_v3,U2U3_v4,U2U3_v5,U2U3_v6,U2U3_v7,U2U3_v8,U2U3_v9,U2U3_v10
4.634,4.15,3.618,3.077,2.555,2.042,1.568,1.131,0.58,0.096,4.53,4.007,3.533,2.992,2.517,2.023,1.53,1.055,0.467,0.068,4.511,4.007,3.495,2.982,2.47,1.976,1.482,1.008,0.467,0.001,4.568,4.017,3.542,3.02,2.489,1.938,1.482,1.055,0.467,0.058,4.549,3.941,3.542,2.992,2.451,1.985,1.482,0.989,0.467,0.068,4.511,4.017,3.514,2.992,2.508,1.985,1.473,1.017,0.476,0.087
4.605,4.131,3.609,3.096,2.564,2.052,1.558,1.112,0.571,0.115,4.52,4.055,3.504,2.973,2.527,1.966,1.511,1.046,0.514,0.049,4.53,4.036,3.533,2.944,2.451,1.947,1.444,0.989,0.571,0.03,4.549,3.95,3.514,3.058,2.536,1.957,1.482,1.046,0.467,0.087,4.568,3.96,3.552,2.992,2.47,1.966,1.482,1.055,0.505,0.058,4.492,4.036,3.504,2.982,2.47,1.928,1.501,0.989,0.476,0.049
4.634,4.14,3.59,3.058,2.574,2.052,1.587,1.112,0.58,0.115,4.558,4.026,3.514,2.973,2.47,1.985,1.53,1.036,0.476,0.039,4.558,4.026,3.523,2.992,2.46,1.938,1.482,0.998,0.523,0.02,4.577,3.922,3.542,3.011,2.489,1.938,1.454,1.017,0.495,0.03,4.586,3.941,3.542,3.001,2.489,2.004,1.454,1.008,0.505,0.068,4.511,4.083,3.523,3.011,2.508,1.976,1.463,0.989,0.467,0.077
4.624,4.131,3.59,3.077,2.574,2.061,1.587,1.131,0.58,0.106,4.53,4.036,3.571,3.02,2.498,1.985,1.511,1.055,0.486,0.068,4.53,4.026,3.514,2.963,2.479,1.938,1.444,1.027,0.533,-0.008,4.568,4.007,3.523,2.992,2.489,1.966,1.454,0.998,0.457,0.058,4.577,3.969,3.533,3.011,2.498,1.957,1.463,0.979,0.476,0.049,4.482,4.083,3.514,3.001,2.489,1.985,1.492,0.998,0.495,0.049
4.624,4.159,3.628,3.068,2.546,2.004,1.596,1.084,0.609,0.106,4.539,4.007,3.514,2.963,2.498,1.957,1.454,1.036,0.523,-0.008,4.568,4.026,3.514,2.963,2.46,1.957,1.454,1.046,0.523,0.001,4.577,3.988,3.523,3.03,2.489,1.928,1.492,1.027,0.467,0.106,4.549,3.988,3.542,2.992,2.517,1.976,1.454,1.017,0.476,0.058,4.501,4.064,3.504,2.992,2.489,1.966,1.482,0.979,0.467,0.058
4.634,4.14,3.618,3.068,2.536,2.023,1.644,1.141,0.571,0.125,4.539,4.007,3.571,2.992,2.498,1.976,1.577,1.027,0.438,0.106,4.539,4.045,3.523,2.925,2.479,1.928,1.463,1.046,0.523,0.02,4.577,3.931,3.523,3.039,2.479,1.985,1.473,0.998,0.486,0.087,4.549,3.95,3.552,2.992,2.498,1.976,1.454,1.008,0.438,0.03,4.492,4.036,3.523,2.992,2.498,1.985,1.463,0.989,0.486,0.049
4.624,4.131,3.628,3.077,2.564,2.042,1.596,1.084,0.599,0.134,4.549,4.026,3.552,2.992,2.527,1.966,1.596,1.027,0.599,0.087,4.53,4.036,3.514,2.963,2.451,1.957,1.473,1.027,0.514,0.039,4.586,3.941,3.514,3.03,2.498,1.947,1.473,1.074,0.467,0.087,4.577,3.96,3.571,3.03,2.47,1.966,1.501,1.036,0.476,0.049,4.511,4.045,3.523,2.992,2.498,2.004,1.473,0.989,0.486,0.039
4.624,4.121,3.609,3.068,2.555,2.004,1.568,1.112,0.561,0.115,4.53,4.007,3.504,2.963,2.46,1.995,1.577,1.027,0.533,-0.018,4.539,4.036,3.523,2.944,2.479,1.957,1.482,1.036,0.523,0.02,4.53,3.969,3.523,2.992,2.498,1.976,1.482,1.065,0.495,0.058,4.577,3.941,3.571,3.001,2.508,1.938,1.435,1.008,0.467,0.001,4.492,4.064,3.504,2.982,2.498,1.957,1.473,1.017,0.486,0.068
4.624,4.121,3.59,3.039,2.574,2.052,1.587,1.103,0.59,0.106,4.549,4.083,3.514,2.992,2.489,1.995,1.568,1.074,0.58,0.049,4.549,4.045,3.523,2.982,2.441,1.966,1.463,1.046,0.533,0.02,4.568,3.96,3.533,2.973,2.489,1.947,1.482,1.046,0.476,0.039,4.568,3.95,3.561,2.992,2.508,1.966,1.492,1.017,0.505,0.039,4.492,4.055,3.495,3.001,2.498,1.966,1.482,1.008,0.495,0.096
4.624,4.121,3.647,3.087,2.555,2.042,1.596,1.093,0.571,0.106,4.549,4.064,3.523,2.973,2.508,2.023,1.587,1.046,0.59,0.106,4.539,4.036,3.514,2.973,2.47,1.966,1.482,1.008,0.514,0.039,4.577,3.998,3.533,3.02,2.498,1.976,1.444,1.008,0.467,0.068,4.568,3.922,3.552,3.011,2.527,1.976,1.492,1.017,0.467,0.077,4.482,4.045,3.514,2.992,2.508,1.985,1.482,1.008,0.457,0.058
