U0U1_v1,U0U1_v2,U0U1_v3,U0U1_v4,U0U1_v5,U0U1_v6,U0U1_v7,U0U1_v8,U0U1_v9,U0U1_v10,U1U2_v1,U1U2_v2,U1U2_v3,U1U2_v4,U1U2_v5,U1U2_v6,U1U2_v7,U1U2_v8,U1U2_v9,U1U2_v10,U2U3_v1,U2U3_v2,U2U3_v3,U2U3_v4,U2U3_v5,U2U3_v6,U2U3_v7,U2U3_v8,U2U3_v9,U2U3_v10
4.662,4.131,3.552,3.106,2.536,2.052,1.615,1.055,0.571,0.163,4.511,3.998,3.504,2.992,2.489,1.985,1.444,0.998,0.467,0.049,4.482,4.026,3.362,2.973,2.451,1.966,1.463,0.998,0.467,0.096
4.624,4.131,3.533,3.077,2.564,2.061,1.587,1.084,0.628,0.182,4.501,3.979,3.495,2.992,2.46,1.966,1.482,0.96,0.457,0.087,4.492,4.026,3.39,3.011,2.489,1.976,1.463,0.96,0.476,0.077
4.624,4.121,3.533,3.096,2.527,2.061,1.558,1.084,0.561,0.125,4.52,3.941,3.504,3.001,2.46,1.957,1.444,0.989,0.495,0.077,4.482,4.036,3.371,2.992,2.47,1.976,1.406,0.989,0.467,0.039
4.586,4.121,3.561,3.077,2.555,2.09,1.606,1.055,0.571,0.125,4.511,3.998,3.495,2.982,2.47,1.938,1.501,0.989,0.467,0.049,4.52,4.045,3.362,3.03,2.489,1.947,1.463,0.979,0.467,0.03
4.634,4.112,3.523,3.077,2.536,2.033,1.587,1.074,0.571,0.134,4.511,3.998,3.476,2.982,2.47,1.985,1.454,0.989,0.467,0.049,4.53,4.026,3.381,3.011,2.47,1.985,1.473,0.97,0.495,0.068
4.624,4.14,3.523,3.096,2.564,2.052,1.596,1.055,0.58,0.172,4.511,3.998,3.495,2.982,2.479,1.985,1.454,0.989,0.429,0.106,4.492,4.064,3.409,3.001,2.479,1.985,1.473,0.989,0.476,0.077
4.662,4.14,3.561,3.077,2.536,2.09,1.615,1.046,0.58,0.153,4.511,4.007,3.523,3.02,2.489,1.995,1.463,0.97,0.505,0.087,4.501,4.036,3.343,2.982,2.479,1.966,1.454,0.998,0.467,0.049
4.605,4.102,3.552,3.115,2.546,2.09,1.596,1.074,0.599,0.163,4.482,3.969,3.485,3.001,2.489,1.976,1.444,0.989,0.467,0.125,4.511,4.074,3.371,3.001,2.47,1.966,1.463,0.979,0.467,0.087
4.605,4.15,3.542,3.068,2.536,2.061,1.587,1.055,0.599,0.115,4.53,3.969,3.495,3.001,2.46,1.985,1.463,0.979,0.495,0.087,4.501,4.055,3.4,2.992,2.479,1.976,1.463,0.96,0.486,0.068
4.653,4.14,3.561,3.058,2.527,2.061,1.587,1.017,0.599,0.163,4.501,3.979,3.495,3.011,2.489,1.957,1.463,0.989,0.476,0.03,4.52,4.017,3.409,2.982,2.489,1.966,1.444,0.97,0.476,0.068
4.653,4.131,3.561,3.096,2.555,2.071,1.577,1.055,0.561,0.115,4.501,3.988,3.514,3.011,2.479,1.985,1.454,0.96,0.486,0.068,4.511,4.045,3.381,2.982,2.479,1.957,1.454,0.97,0.467,0.068
4.653,4.15,3.561,3.077,2.555,2.052,1.587,1.065,0.599,0.134,4.53,3.979,3.485,3.001,2.441,1.947,1.473,0.989,0.467,0.087,4.492,4.036,3.371,3.001,2.489,1.966,1.473,0.979,0.495,0.096
4.615,4.102,3.523,3.096,2.555,2.061,1.587,1.093,0.561,0.153,4.511,3.988,3.495,3.011,2.489,1.957,1.454,0.97,0.438,0.087,4.511,4.036,3.352,3.001,2.46,1.976,1.444,0.998,0.476,0.077
4.596,4.14,3.542,3.077,2.546,2.052,1.587,1.027,0.552,0.153,4.511,3.979,3.504,2.982,2.489,1.976,1.454,0.941,0.476,0.03,4.52,4.036,3.381,2.982,2.479,1.947,1.473,0.97,0.448,0.096
4.615,4.121,3.542,3.077,2.527,2.118,1.587,1.046,0.571,0.106,4.53,3.96,3.476,3.011,2.489,1.985,1.482,0.97,0.486,0.058,4.53,4.045,3.4,3.011,2.479,1.966,1.444,0.979,0.476,0.049
