U0U1_v1,U0U1_v2,U0U1_v3,U0U1_v4,U0U1_v5,U0U1_v6,U0U1_v7,U0U1_v8,U0U1_v9,U0U1_v10,U1U2_v1,U1U2_v2,U1U2_v3,U1U2_v4,U1U2_v5,U1U2_v6,U1U2_v7,U1U2_v8,U1U2_v9,U1U2_v10,U2U3_v1,U2U3_v2,U2U3_v3,U2U3_v4,U2U3_v5,U2U3_v6,U2U3_v7,U2U3_v8,U2U3_v9,U2U3_v10
4.672,3.95,3.723,3.077,2.564,2.27,1.691,1.245,0.666,0.21,4.643,3.96,3.58,2.935,2.422,2.147,1.606,1.036,0.58,0.077,4.511,3.969,3.466,2.954,2.479,2.071,1.539,1.131,0.561,0.125
4.719,3.95,3.694,3.087,2.564,2.27,1.72,1.245,0.647,0.201,4.624,3.979,3.552,2.944,2.441,2.137,1.596,1.055,0.59,0.068,4.501,3.931,3.504,3.001,2.47,2.052,1.587,1.084,0.561,0.106
4.691,3.998,3.713,3.058,2.574,2.318,1.701,1.254,0.675,0.21,4.596,3.998,3.523,2.916,2.451,2.118,1.615,1.055,0.571,0.087,4.463,3.865,3.476,2.982,2.46,2.004,1.549,1.093,0.561,0.125
4.719,3.912,3.713,3.039,2.564,2.251,1.682,1.216,0.647,0.21,4.643,3.969,3.533,2.868,2.479,2.156,1.625,1.036,0.561,0.068,4.463,3.884,3.514,2.992,2.479,2.071,1.558,1.122,0.552,0.144
4.719,4.026,3.694,3.096,2.602,2.318,1.72,1.292,0.656,0.22,4.634,4.112,3.571,2.973,2.413,2.128,1.625,1.046,0.561,0.096,4.444,3.912,3.504,2.982,2.489,2.033,1.568,1.103,0.552,0.153
4.729,3.95,3.751,3.049,2.602,2.251,1.672,1.273,0.666,0.21,4.643,3.922,3.552,2.954,2.403,2.137,1.587,1.046,0.552,0.106,4.482,3.922,3.466,2.954,2.498,2.052,1.577,1.131,0.552,0.153
4.7,3.922,3.704,3.106,2.612,2.251,1.729,1.235,0.685,0.248,4.643,4.074,3.542,2.906,2.403,2.175,1.606,1.055,0.552,0.068,4.454,3.875,3.428,2.944,2.479,2.014,1.539,1.122,0.542,0.115
4.729,4.492,3.732,2.992,2.593,2.289,1.71,1.283,0.704,0.21,4.634,3.979,3.542,2.935,2.413,2.128,1.615,1.084,0.561,0.068,4.492,3.931,3.514,2.973,2.46,2.09,1.634,1.103,0.542,0.106
4.681,4.017,3.732,3.03,2.555,2.27,1.71,1.302,0.685,0.21,4.653,4.045,3.552,2.992,2.403,2.156,1.634,1.046,0.523,0.058,4.473,3.931,3.447,2.963,2.451,2.052,1.558,1.131,0.542,0.125
4.729,4.045,3.742,3.049,2.583,2.251,1.701,1.273,0.685,0.229,4.634,3.95,3.533,3.001,2.451,2.166,1.568,1.046,0.542,0.068,4.435,3.922,3.504,2.982,2.46,2.004,1.568,1.065,0.552,0.125
